GEOID,Block Group GeoID,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:,Estimate!!Total:!!Owner occupied:!!No vehicle available,Owner Carlessness Percentage,Estimate!!Total:!!Owner occupied:!!1 vehicle available,Margin of Error!!Total:!!Owner occupied:!!1 vehicle available,Estimate!!Total:!!Owner occupied:!!2 vehicles available,Margin of Error!!Total:!!Owner occupied:!!2 vehicles available,Estimate!!Total:!!Owner occupied:!!3 vehicles available,Margin of Error!!Total:!!Owner occupied:!!3 vehicles available,Estimate!!Total:!!Owner occupied:!!4 vehicles available,Margin of Error!!Total:!!Owner occupied:!!4 vehicles available,Estimate!!Total:!!Owner occupied:!!5 or more vehicles available,Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available,Estimate!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!No vehicle available,Total Carlessness Count,carless_percentage,Estimate!!Total:!!Renter occupied:!!1 vehicle available,Margin of Error!!Total:!!Renter occupied:!!1 vehicle available,Estimate!!Total:!!Renter occupied:!!2 vehicles available,Margin of Error!!Total:!!Renter occupied:!!2 vehicles available,Estimate!!Total:!!Renter occupied:!!3 vehicles available,Margin of Error!!Total:!!Renter occupied:!!3 vehicles available,Estimate!!Total:!!Renter occupied:!!4 vehicles available,Margin of Error!!Total:!!Renter occupied:!!4 vehicles available,Estimate!!Total:!!Renter occupied:!!5 or more vehicles available,Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available
1500000US060750101011,060750101011,Block Group 1; Census Tract 101.01; San Francisco County; California,517,22,0,0,0,14,22,32,0,14,0,14,0,14,495,183,203,39%,281,137,31,35,0,14,0,14,0,14
1500000US060750101012,060750101012,Block Group 2; Census Tract 101.01; San Francisco County; California,699,79,0,0,73,42,6,16,0,14,0,14,0,14,620,268,292,42%,334,149,8,12,10,21,0,14,0,14
1500000US060750101021,060750101021,Block Group 1; Census Tract 101.02; San Francisco County; California,930,264,26,0.098484848,199,78,39,28,0,14,0,14,0,14,666,321,321,35%,242,72,92,49,11,17,0,14,0,14
1500000US060750102011,060750102011,Block Group 1; Census Tract 102.01; San Francisco County; California,737,177,31,0.175141243,105,69,31,27,10,16,0,14,0,14,560,209,241,33%,263,94,88,63,0,14,0,14,0,14
1500000US060750102012,060750102012,Block Group 2; Census Tract 102.01; San Francisco County; California,662,229,87,0.379912664,84,53,15,23,43,63,0,14,0,14,433,127,127,19%,291,86,15,25,0,14,0,14,0,14
1500000US060750102021,060750102021,Block Group 1; Census Tract 102.02; San Francisco County; California,479,95,0,0,87,67,8,17,0,14,0,14,0,14,384,118,125,26%,229,108,1,18,5,20,31,49,0,14
1500000US060750102022,060750102022,Block Group 2; Census Tract 102.02; San Francisco County; California,620,204,14,0.068627451,161,88,29,30,0,14,0,14,0,14,416,18,32,5%,347,187,51,41,0,14,0,14,0,14
1500000US060750103001,060750103001,Block Group 1; Census Tract 103; San Francisco County; California,724,182,32,0.175824176,55,44,95,127,0,14,0,14,0,14,542,167,175,24%,169,103,122,89,84,70,0,14,0,14
1500000US060750103002,060750103002,Block Group 2; Census Tract 103; San Francisco County; California,483,94,0,0,37,40,0,14,57,77,0,14,0,14,389,90,98,20%,196,135,74,59,29,34,0,14,0,14
1500000US060750103003,060750103003,Block Group 3; Census Tract 103; San Francisco County; California,853,164,0,0,145,79,19,31,0,14,0,14,0,14,689,166,177,21%,430,291,93,121,0,14,0,14,0,14
1500000US060750104011,060750104011,Block Group 1; Census Tract 104.01; San Francisco County; California,208,41,7,0.170731707,29,31,5,12,0,14,0,14,0,14,167,39,69,33%,52,47,76,66,0,14,0,14,0,14
1500000US060750104012,060750104012,Block Group 2; Census Tract 104.01; San Francisco County; California,745,192,11,0.057291667,127,62,46,39,8,16,0,14,0,14,553,298,362,49%,165,93,63,46,16,24,0,14,11,19
1500000US060750104021,060750104021,Block Group 1; Census Tract 104.02; San Francisco County; California,468,168,34,0.202380952,73,55,20,33,0,14,41,62,0,14,300,53,130,28%,131,93,116,113,0,14,0,14,0,14
1500000US060750104022,060750104022,Block Group 2; Census Tract 104.02; San Francisco County; California,424,149,10,0.067114094,62,58,77,79,0,14,0,14,0,14,275,143,143,34%,102,69,30,23,0,14,0,14,0,14
1500000US060750104023,060750104023,Block Group 3; Census Tract 104.02; San Francisco County; California,341,74,17,0.22972973,37,46,20,28,0,14,0,14,0,14,267,72,94,28%,172,97,23,36,0,14,0,14,0,14
1500000US060750105001,060750105001,Block Group 1; Census Tract 105; San Francisco County; California,825,325,89,0.273846154,210,120,11,18,0,14,15,25,0,14,500,179,179,22%,308,111,13,21,0,14,0,14,0,14
1500000US060750105002,060750105002,Block Group 2; Census Tract 105; San Francisco County; California,439,86,10,0.11627907,76,45,0,14,0,14,0,14,0,14,353,119,132,30%,223,118,11,17,0,14,0,14,0,14
1500000US060750105003,060750105003,Block Group 3; Census Tract 105; San Francisco County; California,584,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,584,239,244,42%,345,111,0,14,0,14,0,14,0,14
1500000US060750106001,060750106001,Block Group 1; Census Tract 106; San Francisco County; California,722,83,13,0.156626506,36,29,34,32,0,14,0,14,0,14,639,410,410,57%,207,88,15,23,7,10,0,14,0,14
1500000US060750106002,060750106002,Block Group 2; Census Tract 106; San Francisco County; California,518,33,13,0.393939394,13,23,7,13,0,14,0,14,0,14,485,396,416,80%,85,55,4,8,0,14,0,14,0,14
1500000US060750106003,060750106003,Block Group 3; Census Tract 106; San Francisco County; California,483,45,13,0.288888889,15,22,17,25,0,14,0,14,0,14,438,372,404,84%,44,32,22,26,0,14,0,14,0,14
1500000US060750107011,060750107011,Block Group 1; Census Tract 107.01; San Francisco County; California,750,58,32,0.551724138,26,30,0,14,0,14,0,14,0,14,692,558,636,85%,134,90,0,14,0,14,0,14,0,14
1500000US060750107012,060750107012,Block Group 2; Census Tract 107.01; San Francisco County; California,1042,52,23,0.442307692,0,14,29,46,0,14,0,14,0,14,990,918,927,89%,72,54,0,14,0,14,0,14,0,14
1500000US060750107021,060750107021,Block Group 1; Census Tract 107.02; San Francisco County; California,385,72,11,0.152777778,13,17,48,54,0,14,0,14,0,14,313,195,230,60%,100,51,18,23,0,14,0,14,0,14
1500000US060750107022,060750107022,Block Group 2; Census Tract 107.02; San Francisco County; California,275,57,0,0,49,55,8,12,0,14,0,14,0,14,218,140,140,51%,71,48,7,13,0,14,0,14,0,14
