GEOID,Geographic Area Name,Estimate!!Total:,"Estimate!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone",Drove Alone Percentage,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Carpool Percentage,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Estimate!!Total:!!Public transportation (excluding taxicab):,Public Transportation Percentage,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Bus Percentage,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Subway or Elevated Rail Percentage,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Long Distance Rail or Commuter Rail Percentage,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Light rail, streetcar, or trolley percentage",Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Ferryboat Percentage,Estimate!!Total:!!Taxicab,Taxicab Percentage,Estimate!!Total:!!Motorcycle,Motorcycle percentage,Estimate!!Total:!!Bicycle,Bicycle Percentage,Estimate!!Total:!!Walked,Walk Percentage,Estimate!!Total:!!Other means,Other Percentage,Estimate!!Total:!!Worked from home,WFH Percentage
1500000US060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",570,125,125,0.219298246,0,0,0,0,0,0,0,90,0.157894737,47,0.08245614,17,0.029824561,0,0,26,0.045614035,0,0,30,0.052631579,0,0,42,0.073684211,254,0.445614035,0,0,29,0.050877193
1500000US060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",1408,329,291,0.206676136,38,0.026988636,27,11,0,0,0,491,0.348721591,401,0.284801136,43,0.030539773,0,0,47,0.033380682,0,0,12,0.008522727,0,0,30,0.021306818,476,0.338068182,0,0,70,0.049715909
1500000US060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1023,244,228,0.2228739,16,0.015640274,16,0,0,0,0,365,0.356793744,248,0.242424242,33,0.032258065,13,0.012707722,71,0.069403715,0,0,0,0,0,0,31,0.03030303,241,0.235581623,0,0,142,0.138807429
1500000US060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",1268,420,359,0.283123028,61,0.048107256,20,7,0,18,16,317,0.25,286,0.22555205,13,0.010252366,18,0.014195584,0,0,0,0,125,0.098580442,0,0,30,0.023659306,106,0.083596215,98,0.077287066,172,0.135646688
1500000US060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",566,202,169,0.298586572,33,0.058303887,33,0,0,0,0,192,0.339222615,192,0.339222615,0,0,0,0,0,0,0,0,0,0,0,0,26,0.045936396,72,0.127208481,34,0.060070671,40,0.070671378
1500000US060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1274,345,246,0.193092622,99,0.077708006,99,0,0,0,0,435,0.34144427,367,0.288069074,26,0.020408163,26,0.020408163,16,0.01255887,0,0,0,0,0,0,24,0.018838305,272,0.213500785,36,0.028257457,162,0.127158556
1500000US060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",820,190,190,0.231707317,0,0,0,0,0,0,0,289,0.352439024,183,0.223170732,23,0.02804878,83,0.101219512,0,0,0,0,13,0.015853659,44,0.053658537,14,0.017073171,233,0.284146341,10,0.012195122,27,0.032926829
1500000US060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",836,166,136,0.162679426,30,0.035885167,13,17,0,0,0,290,0.346889952,233,0.278708134,0,0,57,0.068181818,0,0,0,0,0,0,0,0,74,0.088516746,254,0.303827751,0,0,52,0.062200957
1500000US060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",194,85,85,0.43814433,0,0,0,0,0,0,0,64,0.329896907,31,0.159793814,24,0.12371134,0,0,9,0.046391753,0,0,0,0,0,0,0,0,45,0.231958763,0,0,0,0
1500000US060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1239,327,264,0.213075061,63,0.050847458,0,63,0,0,0,125,0.100887813,82,0.066182405,19,0.015334948,0,0,24,0.01937046,0,0,0,0,0,0,118,0.095238095,570,0.460048426,16,0.01291364,83,0.066989508
