objectid,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
1,06,013,355115,1,060133551151,Block Group 1,G5030,S,198343,0,+37.7627742,-121.9059387,2.02801429622923E-05,0.0193358916355926
2,06,013,307202,3,060133072023,Block Group 3,G5030,S,268885,0,+38.0051323,-121.8301352,2.75823526862951E-05,0.0368600418084072
3,06,001,442301,2,060014423012,Block Group 2,G5030,S,349968,0,+37.5298253,-121.9622425,3.56737714355404E-05,0.0269721970412629
4,06,013,345116,2,060133451162,Block Group 2,G5030,S,677724,0,+37.7635525,-121.9768093,6.92976350364916E-05,0.0394038376024934
5,06,013,322000,4,060133220004,Block Group 4,G5030,S,1177268,0,+37.9572746,-122.0762645,0.000120687586331769,0.0768926791586587
6,06,013,304003,2,060133040032,Block Group 2,G5030,S,5915010,1545100,+37.9011591,-121.5807088,0.000764247783536121,0.141182860818843
7,06,001,404600,3,060014046003,Block Group 3,G5030,S,614079,0,+37.8235080,-122.1922299,6.28398920525797E-05,0.059000516980047
8,06,001,401700,2,060014017002,Block Group 2,G5030,S,431791,0,+37.8154492,-122.2948134,4.41813626821386E-05,0.0280298984528416
9,06,001,401700,3,060014017003,Block Group 3,G5030,S,5041492,5771096,+37.8211635,-122.3187951,0.00110642459048904,0.174923290428627
10,06,001,406500,2,060014065002,Block Group 2,G5030,S,106924,0,+37.7877720,-122.2130574,1.09365951175278E-05,0.0168558321211709
11,06,001,409800,3,060014098003,Block Group 3,G5030,S,387985,0,+37.7582662,-122.1525880,3.9668969293416E-05,0.0333015247849507
12,06,001,409900,2,060014099002,Block Group 2,G5030,S,385973,0,+37.7584213,-122.1454985,3.94633257201349E-05,0.0326833801372211
13,06,001,404502,4,060014045024,Block Group 4,G5030,S,1061716,0,+37.8295259,-122.2055206,0.000108656167412846,0.0730908807854419
14,06,001,430400,2,060014304002,Block Group 2,G5030,S,2098656,481854,+37.7212084,-122.1010957,0.000263708206148294,0.123705629196171
15,06,001,435300,1,060014353001,Block Group 1,G5030,S,416146,0,+37.6807229,-122.0706940,4.25045004703861E-05,0.0476979551302099
16,06,001,436500,2,060014365002,Block Group 2,G5030,S,885164,0,+37.6564208,-122.0653341,9.03799918887671E-05,0.0473494960989461
17,06,001,438201,1,060014382011,Block Group 1,G5030,S,230132,0,+37.6279710,-122.0787692,2.34888248087373E-05,0.0212229012348064
18,06,001,408500,1,060014085001,Block Group 1,G5030,S,152034,0,+37.7634083,-122.1780247,1.55455727508524E-05,0.0182908606778525
19,06,001,420200,3,060014202003,Block Group 3,G5030,S,137743,0,+37.8928309,-122.2984430,1.41086429721327E-05,0.0159834819193405
20,06,001,422500,2,060014225002,Block Group 2,G5030,S,120451,0,+37.8773596,-122.2566042,1.23348513625388E-05,0.0174166037939781
21,06,001,428400,2,060014284002,Block Group 2,G5030,S,126698,0,+37.7621208,-122.2471883,1.29547779579298E-05,0.0147638951879763
22,06,001,401800,1,060014018001,Block Group 1,G5030,S,155999,0,+37.8108844,-122.2971077,1.59609376169101E-05,0.0161644945946121
23,06,001,441522,1,060014415221,Block Group 1,G5030,S,388566,0,+37.5807882,-122.0592445,3.9634866425331E-05,0.0285526670129065
24,06,001,430600,1,060014306001,Block Group 1,G5030,S,626102,0,+37.7105470,-122.0991688,6.39741574559594E-05,0.0404442466747516
25,06,075,021000,4,060750210004,Block Group 4,G5030,S,67423,0,+37.7490229,-122.4220428,6.89261560182786E-06,0.0136117055095483
26,06,001,430600,2,060014306002,Block Group 2,G5030,S,468370,0,+37.6958944,-122.0937300,4.78479059893289E-05,0.0297035930580129
27,06,001,430600,3,060014306003,Block Group 3,G5030,S,909362,0,+37.7041126,-122.0987299,9.2909504473937E-05,0.0456624722506554
28,06,075,020900,3,060750209003,Block Group 3,G5030,S,52010,0,+37.7493813,-122.4192817,5.31699561179266E-06,0.00912250089852975
29,06,075,021000,1,060750210001,Block Group 1,G5030,S,69591,0,+37.7543688,-122.4231027,7.11488246452063E-06,0.0120684467854821
30,06,075,021000,3,060750210003,Block Group 3,G5030,S,105259,0,+37.7506130,-122.4231169,1.07607997961168E-05,0.0152703569148905
31,06,075,021100,1,060750211001,Block Group 1,G5030,S,144141,0,+37.7548981,-122.4276735,1.47368095895217E-05,0.0155977457389796
32,06,075,021100,4,060750211004,Block Group 4,G5030,S,104786,0,+37.7550248,-122.4322159,1.07131158983975E-05,0.0137080384805403
